매매가격,유지시간(초),시작시각,종료시각
$110.3935,126.6,05:28:10,05:30:16
$110.4000,125.2,02:55:34,02:57:39
$110.3950,118.8,05:30:23,05:32:22
$110.3900,117.8,03:38:46,03:40:44
$110.3950,114.0,04:32:56,04:34:50
$110.3900,108.6,03:06:38,03:08:27
$110.3950,102.8,05:18:16,05:19:58
$110.3900,99.8,05:20:12,05:21:52
$110.4000,92.6,03:40:57,03:42:30
$110.3950,90.8,04:37:45,04:39:16
$110.3900,89.3,02:48:33,02:50:02
$110.3950,88.1,02:33:06,02:34:34
$110.3950,82.5,02:51:20,02:52:42
$110.3950,82.1,04:30:24,04:31:46
$110.3999,77.5,04:24:24,04:25:42
$110.3999,73.9,05:08:29,05:09:43
$110.3950,73.0,05:47:11,05:48:24
$110.3915,69.9,04:07:03,04:08:13
$110.3900,69.6,02:31:56,02:33:06
$110.3950,65.8,04:59:02,05:00:08
$110.3950,65.7,02:00:11,02:01:17
$110.3950,64.9,02:21:26,02:22:31
$110.3911,64.5,03:36:07,03:37:11
$110.3950,62.2,04:48:43,04:49:46
$110.3900,61.9,05:33:49,05:34:51
$110.3900,61.6,04:57:20,04:58:22
$110.4000,61.5,01:53:36,01:54:38
$110.3950,58.9,01:55:17,01:56:16
$110.4000,58.3,01:43:50,01:44:48
$110.3950,57.3,02:39:45,02:40:42
$110.3950,56.7,02:42:46,02:43:43
$110.3950,56.6,03:13:23,03:14:19
$110.3954,56.5,02:12:10,02:13:07
$110.3900,56.0,04:16:09,04:17:05
$110.3950,55.8,01:58:17,01:59:13
$110.3954,55.2,03:02:14,03:03:10
$110.3950,55.2,05:11:58,05:12:53
$110.3950,54.5,02:57:39,02:58:34
$110.3900,54.5,05:38:42,05:39:36
$110.3901,52.6,02:24:22,02:25:15
$110.3923,52.3,00:14:28,00:15:20
$110.3950,52.2,02:45:46,02:46:38
$110.3995,52.2,04:40:13,04:41:06
$110.3950,52.0,02:31:04,02:31:56
$110.3950,51.4,05:32:58,05:33:49
$110.3900,51.0,02:11:18,02:12:09
$110.3950,51.0,02:19:25,02:20:16
$110.3950,50.6,04:52:22,04:53:12
$110.3967,50.2,02:50:13,02:51:03
$110.3950,50.1,03:37:12,03:38:03
$110.3950,49.8,02:25:15,02:26:04
$110.3950,49.0,02:47:44,02:48:33
$110.3950,48.6,04:17:37,04:18:25
$110.3900,48.4,02:28:14,02:29:03
$110.3900,48.2,02:46:56,02:47:44
$110.3950,47.8,02:52:48,02:53:36
$110.3906,47.4,05:16:14,05:17:01
$110.4000,47.0,05:14:22,05:15:09
$110.3950,46.8,03:42:31,03:43:18
$110.3999,46.0,03:00:11,03:00:57
$110.3900,45.8,04:13:02,04:13:48
$110.3950,45.4,03:44:03,03:44:49
$110.3950,45.1,02:26:45,02:27:30
$110.3946,45.0,03:43:18,03:44:03
$110.3901,44.8,04:54:19,04:55:04
$110.3950,44.3,03:15:37,03:16:21
$110.3999,43.4,04:44:40,04:45:24
$110.3950,42.2,00:13:46,00:14:28
$110.3901,41.8,03:38:03,03:38:44
$110.3950,41.6,03:56:14,03:56:56
$110.4000,40.8,01:45:51,01:46:31
$110.3946,39.8,02:30:25,02:31:04
$110.3900,39.7,02:02:05,02:02:45
$110.3950,39.5,04:05:04,04:05:43
$110.4000,39.5,04:49:46,04:50:25
$110.3950,39.1,04:12:23,04:13:02
$110.3900,38.9,04:41:48,04:42:27
$110.3950,38.5,02:04:18,02:04:57
$110.3950,38.3,02:10:40,02:11:18
$110.3950,38.3,02:38:25,02:39:03
$110.3950,38.1,02:16:05,02:16:43
$110.4000,37.9,05:15:12,05:15:50
$110.3950,37.9,04:11:30,04:12:08
$110.3950,37.6,05:27:32,05:28:10
$110.3950,37.5,04:04:21,04:04:59
$110.3915,37.1,02:29:41,02:30:18
$110.3933,37.1,04:09:25,04:10:02
$110.3950,36.5,04:10:15,04:10:51
$110.3900,36.1,02:27:32,02:28:09
$110.3900,36.1,03:05:17,03:05:54
$110.3900,36.0,05:23:28,05:24:04
$110.3900,35.9,04:22:35,04:23:11
$110.4000,35.7,02:58:48,02:59:23
$110.3933,35.5,02:37:49,02:38:24
$110.3967,35.3,04:36:20,04:36:55
$110.3908,35.3,04:51:22,04:51:58
$110.3950,35.3,02:15:05,02:15:40
$110.3950,35.1,02:37:14,02:37:49
$110.4000,34.7,04:14:56,04:15:31
$110.4000,34.7,03:05:56,03:06:31
$110.3950,34.7,02:34:53,02:35:27
$110.3900,34.5,05:24:19,05:24:54
$110.3981,34.4,01:47:36,01:48:11
$110.3950,34.3,02:17:10,02:17:44
$110.3900,34.3,02:18:50,02:19:25
$110.3901,34.3,03:35:06,03:35:40
$110.3950,33.8,05:59:57,06:00:32
$110.3900,33.7,02:53:39,02:54:13
$110.3800,33.7,23:22:07,23:22:41
$110.3901,33.5,05:22:24,05:22:58
$110.3950,33.3,04:37:04,04:37:38
$110.3900,33.1,02:44:33,02:45:07
$110.3950,32.9,05:17:01,05:17:34
$110.3902,32.9,04:46:22,04:46:55
$110.3950,32.7,04:20:29,04:21:01
$110.3950,32.7,02:35:28,02:36:01
$110.3950,32.5,05:21:52,05:22:24
$110.3900,32.5,01:57:44,01:58:17
$110.3900,32.5,03:55:42,03:56:14
$110.3900,32.0,02:20:42,02:21:14
$110.4000,31.9,05:17:34,05:18:06
$110.3975,31.9,04:32:15,04:32:47
$110.3950,31.7,04:39:17,04:39:49
$110.4000,31.7,04:53:37,04:54:09
$110.3900,31.7,02:08:26,02:08:58
$110.3900,31.7,02:41:11,02:41:42
$110.3950,31.6,05:35:54,05:36:25
$110.4000,31.6,00:47:37,00:48:09
$110.3915,31.5,04:17:05,04:17:37
$110.4000,31.4,00:45:19,00:45:51
$110.3900,31.2,05:48:44,05:49:15
$110.3900,31.0,23:30:02,23:30:35
$110.3999,30.4,03:03:44,03:04:14
$110.3954,30.3,02:03:48,02:04:18
$110.3933,30.3,04:43:32,04:44:03
$110.4000,30.3,02:26:14,02:26:45
$110.3999,30.2,03:09:37,03:10:07
$110.3950,30.2,05:37:03,05:37:33
$110.3900,30.1,00:15:32,00:16:02
$110.3901,30.1,06:00:32,06:01:02
$110.3900,30.1,03:29:43,03:30:13
$110.4000,30.0,00:53:30,00:54:00
$110.3900,29.9,05:26:48,05:27:18
$110.3950,29.9,04:50:48,04:51:18
$110.3950,29.7,02:01:33,02:02:02
$110.3900,29.5,05:09:49,05:10:19
$110.3975,29.3,04:28:23,04:28:53
$110.3950,29.1,05:02:05,05:02:34
$110.3900,29.1,02:05:39,02:06:08
$110.4000,29.0,01:07:38,01:08:07
$110.3900,28.7,05:45:22,05:45:51
$110.4000,28.7,04:22:04,04:22:33
$110.3950,28.7,02:36:43,02:37:12
$110.4000,28.6,00:38:08,00:38:36
$110.3906,28.3,04:21:31,04:22:00
$110.3900,28.2,02:39:17,02:39:45
$110.3911,28.2,03:14:50,03:15:18
$110.3900,28.1,04:35:52,04:36:20
$110.3905,28.1,05:04:16,05:04:44
$110.3950,27.9,04:48:03,04:48:31
$110.3950,27.9,04:29:42,04:30:10
$110.3900,27.8,02:45:18,02:45:46
$110.3950,27.5,05:22:58,05:23:26
$110.3950,27.4,03:16:39,03:17:07
$110.3967,27.4,03:10:07,03:10:34
$110.3900,27.1,06:07:13,06:07:40
$110.3901,26.9,04:20:01,04:20:28
$110.3950,26.8,03:35:40,03:36:07
$110.3954,26.8,02:18:08,02:18:35
$110.4000,26.7,00:46:54,00:47:21
$110.3955,26.6,02:36:12,02:36:39
$110.3901,26.3,04:56:55,04:57:20
$110.3954,26.1,04:18:25,04:18:51
$110.3950,25.9,05:43:18,05:43:44
$110.3950,25.9,04:56:00,04:56:26
$110.3950,25.7,04:42:38,04:43:04
$110.3913,25.4,03:04:32,03:04:58
$110.3907,25.3,02:02:45,02:03:10
$110.3950,25.0,03:01:11,03:01:36
$110.3999,24.7,03:03:10,03:03:33
$110.3999,24.6,02:09:43,02:10:07
$110.4000,24.5,01:07:12,01:07:37
$110.3975,24.5,04:27:56,04:28:21
$110.3906,24.5,04:10:51,04:11:16
$110.4000,24.3,01:52:32,01:52:56
$110.3950,24.1,05:15:50,05:16:14
$110.3900,24.1,03:57:39,03:58:04
$110.3950,23.9,04:53:14,04:53:37
$110.3954,23.9,04:19:34,04:19:58
$110.3901,23.9,04:51:58,04:52:22
$110.4000,23.7,01:08:30,01:08:53
$110.4000,23.5,00:37:37,00:38:01
$110.3955,23.5,01:44:56,01:45:20
$110.3900,23.5,02:06:40,02:07:04
$110.4000,23.3,04:55:17,04:55:41
$110.3900,23.2,03:25:47,03:26:10
$110.3900,23.2,02:16:43,02:17:06
$110.3975,23.2,05:56:13,05:56:36
$110.3950,23.2,05:57:47,05:58:11
$110.3950,23.0,02:29:03,02:29:26
